date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:38	52434/52434	---M--	200	added ('OK')	text/html	etag:%22f461e00-ccd2-51b82b90eb300%22	http://ckthemes.com/html/trend/trend-grey/index5.html	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/index5.html	(from )
19:27:39	153/153	---M--	200	added ('OK')	text/plain	etag:%22f024675-99-53cfea9a7c15c%22	http://ckthemes.com/robots.txt		(from )
19:27:42	117075/117075	---M--	200	added ('OK')	text/css	etag:%22f48024f-1c953-517e5d92b5a80%22	http://ckthemes.com/html/trend/trend-grey/css/bootstrap.min.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/css/bootstrap.min.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:43	1476/1476	---M--	200	added ('OK')	text/css	etag:%22f4803f2-5c4-4f93815702b00%22	http://ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.carousel.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:43	1665/1665	---M--	200	added ('OK')	text/css	etag:%22f4803f5-681-4f93815ad3400%22	http://ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.theme.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:44	4476/4476	---M--	200	added ('OK')	text/css	etag:%22f4803f6-117c-4f70125ad8780%22	http://ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.transitions.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/owl-carousel/owl.transitions.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:45	73697/73697	---M--	200	added ('OK')	text/css	etag:%22f48043e-11fe1-505d4be17f500%22	http://ckthemes.com/html/trend/trend-grey/js/rs-plugin/css/settings.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/rs-plugin/css/settings.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:46	9511/9511	---M--	200	added ('OK')	text/css	etag:%22f4803e2-2527-4eddf9fd6ff80%22	http://ckthemes.com/html/trend/trend-grey/js/flexslider/flexslider.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/flexslider/flexslider.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:47	1147/1147	---M--	200	added ('OK')	text/css	etag:%22f4803e9-47b-50d1a06ec1800%22	http://ckthemes.com/html/trend/trend-grey/js/isotope/isotope.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/isotope/isotope.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:48	31953/31953	---M--	200	added ('OK')	text/css	etag:%22f480250-7cd1-517d478a2e400%22	http://ckthemes.com/html/trend/trend-grey/css/jquery-ui.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/css/jquery-ui.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:48	8184/8184	---M--	200	added ('OK')	text/css	etag:%22f4803ef-1ff8-518aa2150be80%22	http://ckthemes.com/html/trend/trend-grey/js/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/js/magnific-popup/magnific-popup.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:50	12731/12731	---M--	200	added ('OK')	text/css	etag:%22f480268-31bb-517a3b1d22280%22	http://ckthemes.com/html/trend/trend-grey/css/icomoon/style.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/css/icomoon/style.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:51	23739/23739	---M--	200	added ('OK')	text/css	etag:%22f480275-5cbb-5143d35d0f300%22	http://ckthemes.com/html/trend/trend-grey/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/font-awesome/css/font-awesome.min.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:52	108346/108346	---M--	200	added ('OK')	text/css	etag:%22f480252-1a73a-519d9b7373700%22	http://ckthemes.com/html/trend/trend-grey/css/style.css	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/css/style.css	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:52	29370/29370	---M--	200	added ('OK')	text/html	etag:%22f461e28-72ba-51b82b92d3780%22	http://ckthemes.com/html/trend/trend-grey/shop-login.html	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/shop-login.html	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:55	57776/57776	---M--	200	added ('OK')	text/html	etag:%22f461dfc-e1b0-51b82b90eb300%22	http://ckthemes.com/html/trend/trend-grey/index.html	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/index.html	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:56	19809/19809	---M--	200	added ('OK')	image/png	etag:%22f4802a5-4d61-51b8244d40f80%22	http://ckthemes.com/html/trend/trend-grey/images/basic/logo.png	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/images/basic/logo.png	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
19:27:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202017%2011:27:57%20GMT	http://ckthemes.com/html/trend/trend-grey/single-product.html	C:/My%20Web%20Sites/trend%20theme/ckthemes.com/html/trend/trend-grey/single-product.11.delayed	(from http://ckthemes.com/html/trend/trend-grey/index5.html)
